CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,OWNSHP_CNT,PUB_SCH,SEP_SCH,PUBSEP_SCH,OTHER_SCH,UNKNWN_SCH,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,OTHER_CNT,OTHER_0_4,OTHER_5_14,OTHER_15_19,OTHER_20_24,OTHER_25_34,OTHER_35_44,OTHER_45_54,OTHER_55_64,OTHER_65_74,OTHER_75
Residential,1,RIC,RICHMOND,CENTRE,BUILT-OUT,1950s,2019,,4962,2503,411,1406,1133,196,161,88,925,1035,642,47,462,155,0,162,0,0,0,0,0,0,0,2525,2409,173,264,92,105,442,573,360,285,169,62,145,233,80,115,492,520,311,271,159,83,318,497,172,220,934,1099,677,556,328,145,12,0,0,0,0,0,6,6,0,0,0
Residential,1,RED,RED CARPET,EAST,BUILT-OUT,1960s/1970s,2019,,1594,908,63,616,417,128,32,13,314,0,0,0,400,0,508,0,0,0,0,0,0,0,0,826,763,54,50,17,28,111,117,144,157,98,50,40,39,15,30,99,86,127,160,102,65,94,89,32,58,210,203,271,317,200,115,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SOM,SOMERSET,SOUTH,BUILT-OUT,1980s/1990s,2019,,8543,3161,608,2306,1639,538,216,345,422,2176,0,0,784,169,0,32,0,0,0,0,0,0,0,4214,4299,259,565,295,277,455,752,696,500,255,160,220,486,299,231,452,810,714,527,325,235,479,1051,603,508,907,1562,1410,1027,580,395,9,0,0,9,0,0,0,0,0,0,0
Residential,1,PEN,PENBROOKE MEADOWS,EAST,BUILT-OUT,1960s/1970s,2019,,8554,3281,791,1794,1696,550,201,57,761,1612,381,0,169,681,0,438,0,0,0,0,0,0,0,4486,4042,299,594,221,247,619,800,643,584,309,170,289,534,206,213,573,704,511,508,324,180,588,1134,427,460,1192,1504,1154,1092,633,350,6,0,6,0,0,0,0,0,0,0,0
Industrial,2,RYV,ROYAL VISTA,NORTHWEST,N/A,EMPLOYMENT,2019,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BNF,BANFF TRAIL,CENTRE,BUILT-OUT,1950s,2019,,4153,1949,193,649,962,119,129,32,703,997,286,11,120,14,0,513,0,0,1,0,0,7,0,2255,1845,85,167,88,439,651,299,197,166,105,58,84,146,89,298,423,261,186,162,114,82,169,313,177,768,1090,560,383,328,219,140,47,0,0,0,31,16,0,0,0,0,0
Residential,1,THO,THORNCLIFFE,NORTH,BUILT-OUT,1950s,2019,,8788,3831,669,2016,2052,564,255,117,835,2049,373,1,332,815,0,260,0,0,1,0,0,0,0,4436,4326,262,521,215,200,684,731,576,659,346,242,265,489,176,201,644,694,566,571,391,329,527,1010,391,401,1339,1425,1142,1230,737,571,11,0,0,0,0,11,0,0,0,0,0
Industrial,2,WES,WESTWINDS,NORTHEAST,N/A,EMPLOYMENT,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,DBC,DEERFOOT BUSINESS CENTRE,NORTHEAST,N/A,EMPLOYMENT,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CGR,COUGAR RIDGE,WEST,DEVELOPING,2000s,2019,,6997,2215,645,1929,1184,324,192,256,257,1915,92,0,0,206,0,2,0,0,0,0,0,0,0,3473,3506,270,788,246,137,343,651,620,267,111,40,227,692,235,144,389,761,628,272,123,35,497,1480,481,281,732,1412,1248,539,234,75,0,0,0,0,0,0,0,0,0,0,0
Residential,1,WHI,WHITEHORN,NORTHEAST,BUILT-OUT,1960s/1970s,2019,,12019,3937,966,2501,2289,428,202,125,891,2535,662,1,61,117,0,560,0,0,0,1,0,0,0,6216,5769,361,881,401,432,942,1002,786,665,511,235,295,753,394,365,823,922,673,678,542,324,656,1634,795,797,1765,1924,1459,1343,1053,559,0,0,0,0,0,0,0,0,0,0,0
Residential,1,WOO,WOODLANDS,SOUTH,BUILT-OUT,1980s/1990s,2019,,6002,2411,438,1666,1507,381,164,80,279,1531,149,0,163,551,0,16,0,0,0,0,1,0,0,2943,3044,170,404,195,155,367,349,354,410,401,138,173,375,132,139,367,387,390,511,403,167,343,779,327,294,734,736,744,921,804,305,0,0,0,0,0,0,0,0,0,0,0
